	mean ra	prevalence	1|sp__ Variance	1|sp__ LRT Pvalue	1|sp__ LRT bh	1|sp Variance	1|sp LRT Pvalue	1|sp LRT bh	1|site_year Variance	1|site_year LRT Pvalue	1|site_year LRT bh	residual Variance	(Intercept) Value	(Intercept) Std.Error	(Intercept) Zscore	(Intercept) Pvalue	days_Since_May1 Value	days_Since_May1 Std.Error	days_Since_May1 Zscore	days_Since_May1 Pvalue	days_Since_May1 bh	Positive Value	Positive Std.Error	Positive Zscore	Positive Pvalue	Positive bh
f__Neisseriaceae-g__Snodgrassella	0.2714955066157014	0.9827586206896551	0.7649	0.02398712	0.076758784	0.4686	0.0837784	0.14893937777777777	1.3014	2.223952e-11	4.461474e-11	5.986	-3.0421275	0.746474	-4.0753	4.595e-05	0.0040919	0.0051758	0.7906	0.4292	0.45781333333333335	0.0932934	0.2295127	0.4065	0.6844	0.7916137931034484
f__Orbaceae-g__Gilliamella	0.19679530677887438	0.9670846394984326	1.805253	2.560273e-18	4.0964368e-17	0.001067	1.0	1.0	0.998237	1.632236e-07	2.901752888888889e-07	6.456958	-3.6167097	0.9381552	-3.8551	0.0001157	0.0147169	0.0052576	2.7992	0.0051233	0.008628715789473685	-0.6155158	0.2352472	-2.6165	0.0088846	0.09476906666666667
f__Orbaceae-g__Schmidhempelia	0.19311610910862723	0.9153605015673981	3.0912526	1.130593e-50	3.6178976e-49	0.0005107	1.0	1.0	0.9247541	1.025865e-06	1.7277726315789476e-06	6.7541791	-5.7416554	1.1669546	-4.9202	8.645e-07	-0.0071144	0.0053379	-1.3328	0.1826	0.22473846153846155	-0.0752742	0.2395817	-0.3142	0.7534	0.8036266666666666
f__Pseudomonadaceae-g__Entomomonas	0.06523820244699997	0.3448275862068966	0.0930324	0.1306558	0.29864182857142857	0.0001634	1.0	1.0	4.4183384	7.868176e-33	3.596880457142857e-32	6.3908717	-12.8969407	0.5341626	-24.1442	0	0.0316596	0.0056805	5.5734	2.498e-08	6.148923076923076e-08	1.6921921	0.2453488	6.8971	5.308e-12	1.69856e-10
other	0.059931066434499566	0.9137931034482759	2.589	0.07650103	0.2225484509090909	1.476	0.1933619	0.30937904	23.919	2.417816e-12	6.447509333333334e-12	75.473	-13.752565	1.942136	-7.0812	1.43e-12	0.083605	0.018825	4.4412	8.944e-06	1.7888e-05	-0.299453	0.827291	-0.362	0.7174	0.7916137931034484
f__Brucellaceae-g__Brucella	0.04030600814685326	0.3495297805642633	0.01896	0.448542	0.7616938105263158	0.22907	0.01156227	0.024666175999999998	6.05486	3.086466e-38	2.4691728e-37	6.03474	-5.223664	0.5403666	-9.6669	0	-0.049899	0.0056393	-8.8484	0	0.0	-0.3041638	0.2421114	-1.2563	0.209	0.47613866666666665
f__Weeksellaceae-g__Apibacter	0.02723714619725416	0.40282131661442006	4.279e-05	1.0	1.0	2.614	1.397943e-19	2.2367088e-18	1.213	0.0007441072	0.0008504082285714286	10.86	-9.7632069	0.7628205	-12.7988	0	0.0147413	0.0066722	2.2094	0.02715	0.04137142857142857	-0.823849	0.3013398	-2.734	0.006258	0.09476906666666667
f__Moraxellaceae-g__Acinetobacter	0.017054603626372768	0.6520376175548589	0.0005642	1.0	1.0	0.226565	0.004322072	0.009879021714285714	1.5699727	2.017938e-11	4.461474e-11	6.6743152	-10.8502094	0.4724688	-22.9649	0	0.028803	0.0054674	5.2682	1.378e-07	3.1497142857142856e-07	0.3828894	0.2421621	1.5811	0.1138	0.36416
f__Erwiniaceae-g__Rosenbergiella	0.015369630405138765	0.30094043887147337	0.1195	0.2392647	0.51043136	0.1409	0.09853609	0.16595552000000002	1.1803	6.575573e-27	2.6302292e-26	5.2594	-12.9547027	0.4799778	-26.9902	0	0.0358423	0.0048444	7.3986	1.376e-13	8.8064e-13	-0.08277	0.2147922	-0.3853	0.7	0.7916137931034484
f__Lactobacillaceae-g__Fructobacillus	0.014957727636016395	0.5391849529780565	1.607e-05	1.0	1.0	0.5108	6.449924e-07	3.439959466666667e-06	0.7635	1.667271e-05	2.4251214545454548e-05	7.588	-13.3678734	0.5057507	-26.4317	0	0.0577031	0.0055256	10.4429	0	0.0	0.2045742	0.2504495	0.8168	0.414	0.6021818181818182
f__Acetobacteraceae-g__Saccharibacter	0.013212944887796008	0.2335423197492163	1.032e-07	1.0	1.0	0.05023	0.07808362	0.1469809317647059	0.8167	1.245287e-09	2.3440696470588237e-09	4.393	-11.9660015	0.3566724	-33.549	0	0.0275951	0.0043486	6.3457	2.214e-10	7.872e-10	0.3452039	0.1938111	1.7811	0.07489	0.26627555555555554
f__Xanthomonadaceae-g__Stenotrophomonas	0.01074379065512333	0.2836990595611285	0.0005993	1.0	1.0	0.1797998	0.002389651	0.005882217846153846	5.2612479	4.451683e-37	2.84907712e-36	5.0195967	-7.268554	0.485245	-14.9791	0	-0.034161	0.00515	-6.6333	3.283e-11	1.3132e-10	-0.271921	0.220958	-1.2306	0.2185	0.47613866666666665
f__Rhizobiaceae-g__Agrobacterium	0.009987344693569378	0.23981191222570533	0.1459	0.008417413	0.029928579555555557	8.602e-05	1.0	1.0	3.458	1.002838e-38	1.0696938666666666e-37	3.649	-6.9946459	0.4646392	-15.0539	0	-0.0273293	0.0043722	-6.2508	4.084e-10	1.30688e-09	-0.4059073	0.1878447	-2.1609	0.03071	0.19114666666666666
f__Bifidobacteriaceae-g__Bombiscardovia	0.008754646338748206	0.5564263322884012	1.1823902	6.693831e-11	7.140086399999999e-10	6.17e-05	1.0	1.0	0.5052964	0.00123005	0.0013572965517241378	9.9397517	-8.8647437	0.8475573	-10.4592	0	-0.0107136	0.0060809	-1.7619	0.07809	0.10412	0.3415495	0.2803965	1.2181	0.22319	0.47613866666666665
f__Spiroplasmataceae-g__Spiroplasma	0.008351645554971181	0.11128526645768025	1.314e-05	1.0	1.0	0.5115	5.263516e-21	1.68432512e-19	0.1797	3.004297e-05	4.005729333333334e-05	3.657	-11.4925395	0.3825536	-30.0416	0	0.0031131	0.0036844	0.845	0.3981	0.43928275862068966	-0.1260698	0.1700275	-0.7415	0.4584	0.6377739130434782
f__Erwiniaceae-g__Pantoea	0.007286609497186431	0.23197492163009403	0.145	0.005655305	0.02262122	4.858e-05	1.0	1.0	0.6672	2.273881e-22	8.084910222222222e-22	3.64	-11.6144105	0.4089479	-28.4007	0	0.0175088	0.0039714	4.4087	1.04e-05	1.9576470588235294e-05	-0.0340224	0.1770387	-0.1922	0.8476	0.874941935483871
f__Pseudomonadaceae-g__Pseudomonas	0.0057557032265654435	0.46865203761755486	0.0003281	1.0	1.0	0.4600356	1.926936e-08	1.23323904e-07	4.1482878	1.086579e-39	1.7385264e-38	4.4602031	-8.2354951	0.4878498	-16.8812	0	-0.0104434	0.0048453	-2.1554	0.03113	0.04331130434782609	-0.1737127	0.2082268	-0.8342	0.40414	0.6021818181818182
f__Erwiniaceae-g__Erwinia	0.005627015429619441	0.2727272727272727	0.27	0.0004844684	0.002214712685714286	1.308e-05	1.0	1.0	0.6658	4.984493e-06	7.595417904761905e-06	5.574	-10.9263856	0.5146906	-21.229	0	0.0104325	0.0047805	2.1823	0.02909	0.04231272727272727	-0.2105792	0.2156459	-0.9765	0.32881	0.5845511111111111
f__Lactobacillaceae-g__Lactobacillus	0.004313918290884464	0.4106583072100313	0.8033	0.1190698	0.2930948923076923	1.5411	0.0001154177	0.0004616708	0.7867	0.0006900943	0.0008178895407407407	5.4929	-8.3690107	0.8272451	-10.1167	0	-0.0047097	0.0048277	-0.9756	0.3293	0.37634285714285715	-0.1215598	0.216452	-0.5616	0.5744	0.735232
f__Bifidobacteriaceae-g__Bifidobacterium	0.004304230842744045	0.3981191222570533	0.6364	0.1148961	0.2930948923076923	1.156	0.0006404469	0.00204943008	0.3422	1.808726e-05	2.5164883478260867e-05	5.3166	-10.259015	0.7414076	-13.8372	0	0.025746	0.0045165	5.7004	1.195e-08	3.186666666666667e-08	-0.2572668	0.206912	-1.2434	0.2137	0.47613866666666665
f__Chloroplast-g__Chloroplast	0.0039341212268318	0.47492163009404387	0.002575	0.4892905	0.7828648	0.228222	0.001898862	0.005063632	0.646598	4.649102e-05	5.95085056e-05	5.86577	-6.5686848	0.4248389	-15.4616	0	-0.0445624	0.0048781	-9.1353	0	0.0	0.1837551	0.2206078	0.8329	0.4049	0.6021818181818182
f__Acetobacteraceae-g__Neokomagataea	0.003229496343536303	0.18025078369905956	0.0002756	1.0	1.0	0.1059874	0.0002205222	0.0007840789333333334	0.2847145	2.230737e-11	4.461474e-11	2.6557765	-12.0445331	0.2850016	-42.2613	0	0.0221702	0.0032766	6.7661	1.323e-11	7.056e-11	0.2691798	0.1482978	1.8151	0.0695	0.26627555555555554
f__Alcaligenaceae-g__Achromobacter	0.0030636704024112125	0.19592476489028213	0.01282	0.4522557	0.7616938105263158	0.16478	0.00124352	0.003617512727272727	4.34388	1.031064e-50	3.2994048e-49	3.13312	-9.2015737	0.4175793	-22.0355	0	-0.0209418	0.0041179	-5.0855	3.667e-07	7.822933333333334e-07	-0.3493752	0.1759965	-1.9851	0.04713	0.21545142857142857
f__Acetobacteraceae-g__Asaia	0.002865389802672541	0.11442006269592477	0.014388	0.2573666	0.5147332	0.009102	0.3549045	0.5162247272727273	0.057272	0.0965752	0.10301354666666666	2.680587	-12.8293867	0.2571153	-49.8974	0	0.0186248	0.0029916	6.2257	4.795e-10	1.3949090909090911e-09	0.1266348	0.1412392	0.8966	0.3699	0.6021818181818182
f__Lactobacillaceae-g__Apilactobacillus	0.002818680416074285	0.23510971786833856	1.684e-07	1.0	1.0	0.7545	1.443966e-15	1.5402304e-14	0.01748	0.3980619	0.3980619	5.437	-11.8323282	0.449103	-26.3466	0	0.0101198	0.0041602	2.4325	0.01499	0.023984	-0.2328424	0.1981444	-1.1751	0.23995	0.4799
f__Staskawiczbacteraceae-g__GWA2-37-10	0.0015627035623673449	0.7100313479623824	0.1293	0.379376	0.7141195294117647	0.7919	1.347371e-05	6.159410285714285e-05	0.7345	3.48702e-06	5.579232e-06	5.2157	-9.5911634	0.547699	-17.5117	0	0.0031848	0.0046926	0.6787	0.4973	0.513341935483871	-0.0300746	0.210614	-0.1428	0.8865	0.8865
f__Lactobacillaceae-g__Leuconostoc	0.0012009080899216856	0.1206896551724138	9.226e-05	1.0	1.0	0.2354	0.01328487	0.02656974	0.4725	1.043344e-11	2.5682313846153848e-11	2.159	-13.1453508	0.3013822	-43.617	0	0.0257896	0.0031049	8.306	0	0.0	0.0869117	0.1377471	0.631	0.5281	0.7041333333333334
f__Lactobacillaceae-g__gbxid5846	0.0005297656959892301	0.10815047021943573	2.148e-06	1.0	1.0	0.2903	1.079621e-10	8.636968e-10	0.1269	0.0003548969	0.0004367961846153846	2.694	-13.4256006	0.3125606	-42.9536	0	0.0211123	0.0031535	6.6949	2.158e-11	9.865142857142858e-11	-0.3203136	0.1457024	-2.1984	0.02792	0.19114666666666666
f__Oxalobacteraceae-g__Massilia	0.0004929849632065933	0.19278996865203762	0.2247	9.256872e-06	5.9243980799999995e-05	1.476e-05	1.0	1.0	1.164	7.027022e-35	3.747745066666667e-34	1.568	-9.6933963	0.3885605	-24.9469	0	-0.0124469	0.0028462	-4.3731	1.225e-05	2.1777777777777776e-05	-0.0588566	0.1227082	-0.4796	0.6315	0.7772307692307692
f__Propionibacteriaceae-g__Cutibacterium	0.00020866168987561753	0.1833855799373041	0.1215693	6.787608e-05	0.00036200576000000004	0.0001726	1.0	1.0	0.6798214	1.962998e-20	6.2815936e-20	1.4135303	-10.8150688	0.3153606	-34.2943	0	-0.0015462	0.0026373	-0.5863	0.5577	0.5577	0.1302444	0.1147226	1.1353	0.2563	0.48244705882352934
f__Cellulomonadaceae-g__Cellulomonas	0.00016811130125467174	0.18495297805642633	0.1117	2.741413e-06	2.1931304e-05	4.745e-05	1.0	1.0	0.6383	6.242892e-20	1.8161140363636364e-19	1.373	-10.2631885	0.3061256	-33.5261	0	-0.0028353	0.0025933	-1.0933	0.27426	0.3250488888888889	-0.2369431	0.1128955	-2.0988	0.03584	0.19114666666666666
f__Methylobacteriaceae-g__Methylobacterium	8.634969231290322e-05	0.10658307210031348	1.86e-05	1.0	1.0	0.0099527	0.2776147	0.4230319238095238	0.0192122	0.2680661	0.2767133935483871	1.456839	-11.2929157	0.1749774	-64.5393	0	-0.0032513	0.0021673	-1.5002	0.1336	0.171008	-0.1426789	0.1031506	-1.3832	0.1666	0.47613866666666665
p__Pseudomonadota-c__Gammaproteobacteria	0.5600479150047717	1.0	0.3579705	3.392253e-11	3.7314782999999995e-10	1.35e-05	1.0	1.0	0.0409702	0.01743656	0.019180216	1.5615799	-1.6021929	0.4191995	-3.822	0.0001324	0.0081166	0.0023394	3.4696	0.0005213	0.0019114333333333335	0.0614448	0.1093284	0.562	0.5741022	0.9021606
p__Pseudomonadota-c__Betaproteobacteria	0.2765593899367825	0.9952978056426333	0.57	0.06269242	0.34480831	0.4421	0.06045983	0.066505813	0.6975	4.5612e-08	1.2543299999999998e-07	4.7741	-2.1013883	0.6552896	-3.2068	0.001342	-0.0054845	0.0045023	-1.2182	0.22316	0.35068	-0.0305786	0.2018144	-0.1515	0.879567	0.97515
p__Pseudomonadota-c__Alphaproteobacteria	0.08046933269580911	0.7915360501567398	0.0008527	1.0	1.0	0.5088906	1.795422e-05	3.9499284e-05	4.8229	7.39314e-23	4.0662269999999996e-22	9.1255641	-7.8445322	0.6181091	-12.6912	0	0.0149541	0.0067282	2.2226	0.02624	0.057728	0.0516846	0.2922643	0.1768	0.85963	0.97515
p__Bacteroidota-c__Flavobacteriia	0.02881842885343223	0.45768025078369906	0.001015	1.0	1.0	2.379639	2.968496e-16	1.0884485333333334e-15	1.063322	0.005439838	0.006648690888888888	11.814554	-9.886197	0.7577137	-13.0474	0	0.0156472	0.0068636	2.2797	0.02262	0.057728	-0.7064803	0.3118318	-2.2656	0.02348	0.12914
p__Bacillota-c__Bacilli	0.024850189475766164	0.7962382445141066	0.001899	1.0	1.0	1.47196	2.927261e-21	2.9166235999999996e-20	0.92683	8.081186e-06	1.4815507666666668e-05	6.709052	-9.8453124	0.5922038	-16.6249	0	0.0420306	0.0053171	7.9048	2.683e-15	1.47565e-14	-0.3819948	0.238758	-1.5999	0.1096	0.3014
p__Actinomycetota-c__Actinomycetes	0.013858231030349558	0.8495297805642633	1.925e-05	1.0	1.0	0.133	0.01108435	0.013547538888888887	0.2447	0.0206625	0.0206625	6.963	-6.7470591	0.4131441	-16.331	0	0.003888	0.0049597	0.7839	0.4331	0.5293444444444444	-0.0039539	0.2312388	-0.0171	0.9864	0.9864
p__Mycoplasmatota-c__Mollicutes	0.008358440111071942	0.11598746081504702	1.225e-05	1.0	1.0	0.5192	5.302952e-21	2.9166235999999996e-20	0.1817	2.59145e-05	4.0722785714285715e-05	3.662	-11.4924662	0.3839581	-29.9316	0	0.0030763	0.0036891	0.8339	0.4044	0.5293444444444444	-0.105011	0.170206	-0.617	0.5373	0.9021606
p__Cyanobacteria-c__Cyanobacteriia	0.003936985541698544	0.47648902821316613	0.007242	0.4833358	1.0	0.224386	0.003153823	0.0045723232499999995	0.652297	3.084237e-05	4.240825875e-05	5.833268	-6.541519	0.4270265	-15.3188	0	-0.0451099	0.0048692	-9.2643	0	0.0	0.2160968	0.2201169	0.9817	0.3262	0.7176400000000001
p__Patescibacteria-c__Paceibacteria	0.0015627035623673449	0.7100313479623824	0.1293	0.379376	1.0	0.7919	1.347371e-05	3.70527025e-05	0.7345	3.48702e-06	7.671444e-06	5.2157	-9.5911634	0.547699	-17.5117	0	0.0031848	0.0046926	0.6787	0.4973	0.54703	-0.0300746	0.210614	-0.1428	0.8865	0.97515
other	0.0014116205563384512	0.5297805642633229	0.01831	1.0	1.0	5.13556	0.002430892	0.004456635333333334	85.12874	1.509397e-44	1.6603367e-43	121.18224	-22.071151	2.281365	-9.6745	0	-0.011104	0.024866	-0.4466	0.6551877	0.6551877	3.906541	1.074044	3.6372	0.0002756	0.0030315999999999997
p__Bacteroidota-c__Bacteroidia	0.00012676323161255136	0.14890282131661442	1.475e-05	1.0	1.0	0.0529	0.003325326	0.0045723232499999995	0.2243	5.216927e-10	1.9128732333333335e-09	1.423	-11.8618336	0.2126606	-55.7782	0	0.0038389	0.0024592	1.561	0.1185	0.21725	0.1772083	0.110117	1.6093	0.1076	0.3014
